仓位ID,交易对,方向,数量,开仓价格,开仓时间,平仓价格,平仓时间,状态,PnL,交易次数,原始开仓时间戳,原始平仓时间戳
SOL/USDT:USDT_1772637025000,SOL/USDT:USDT,多头,104.924,90.8649,2026/3/4 23:10,90.748,2026/3/5 8:53,已平仓,-12.265616,2,1772637025000,1772672000000
ZEC/USDT:USDT_1772637131000,ZEC/USDT:USDT,多头,43.6804,236.1518997,2026/3/4 23:12,240.05,2026/3/5 8:53,已平仓,170.270581,4,1772637131000,1772671998000
ONDO/USDT:USDT_1772638272000,ONDO/USDT:USDT,多头,34657.3,0.27517968,2026/3/4 23:31,0.2746,2026/3/5 0:55,已平仓,-20.09012,3,1772638272000,1772643313000
DOGE/USDT:USDT_1772639648000,DOGE/USDT:USDT,多头,98044,0.09882974,2026/3/4 23:54,0.09794,2026/3/5 8:53,已平仓,-87.233741,5,1772639648000,1772671999000
ETH/USDT:USDT_1772673489000,ETH/USDT:USDT,多头,4.18866,2130.92,2026/3/5 9:18,2110.49,2026/3/5 9:43,已平仓,-85.574324,2,1772673489000,1772674992000
SOL/USDT:USDT_1772674785000,SOL/USDT:USDT,多头,132.832,90.1279236,2026/3/5 9:39,90.1274,2026/3/5 16:00,已平仓,-0.069552,6,1772674785000,1772697650000
ETH/USDT:USDT_1772677423000,ETH/USDT:USDT,多头,6.70946,2123.466466,2026/3/5 10:23,2123.48,2026/3/5 17:48,已平仓,0.0908074,4,1772677423000,1772704100000
SOL/USDT:USDT_1772697719000,SOL/USDT:USDT,多头,126.32,90.0224,2026/3/5 16:01,91.1625,2026/3/5 17:48,已平仓,144.017432,2,1772697719000,1772704100000
ETH/USDT:USDT_1772704324000,ETH/USDT:USDT,空头,5.17292,2122.419255,2026/3/5 17:52,2129.82,2026/3/5 18:18,已平仓,-38.283463,3,1772704324000,1772705914000
SOL/USDT:USDT_1772705936000,SOL/USDT:USDT,多头,116.406,91.3807,2026/3/5 18:18,90.9,2026/3/5 21:25,已平仓,-55.956365,2,1772705936000,1772717139000
ETH/USDT:USDT_1772706223000,ETH/USDT:USDT,多头,5.76324,2134.26,2026/3/5 18:23,2123.92,2026/3/5 20:18,已平仓,-59.591902,2,1772706223000,1772713109000
SUI/USDT:USDT_1772706579000,SUI/USDT:USDT,多头,9975.3,0.96435826,2026/3/5 18:29,0.9637,2026/3/5 21:25,已平仓,-6.56633,3,1772706579000,1772717138000
LINK/USDT:USDT_1772707279000,LINK/USDT:USDT,多头,957.13,9.39844,2026/3/5 18:41,9.40047,2026/3/5 21:25,已平仓,1.9429739,2,1772707279000,1772717138000
ASTER/USDT:USDT_1772708677000,ASTER/USDT:USDT,多头,12368.4,0.74319983,2026/3/5 19:04,0.7521,2026/3/5 20:15,已平仓,110.08088,3,1772708677000,1772712908000
XRP/USDT:USDT_1772713909000,XRP/USDT:USDT,多头,6669.37,1.43671,2026/3/5 20:31,1.42468,2026/3/5 21:25,已平仓,-80.232522,2,1772713909000,1772717133000
ETH/USDT:USDT_1772715096000,ETH/USDT:USDT,多头,5.42494,2135.96726,2026/3/5 20:51,2119.5,2026/3/5 21:24,已平仓,-89.333896,5,1772715096000,1772717061000
ASTER/USDT:USDT_1772717544000,ASTER/USDT:USDT,空头,11608.8,0.73393181,2026/3/5 21:32,0.73,2026/3/5 22:41,已平仓,45.64356,3,1772717544000,1772721703000
SOL/USDT:USDT_1772722367000,SOL/USDT:USDT,多头,108.789,90.5122,2026/3/5 22:52,89.7492,2026/3/5 23:08,已平仓,-83.006007,2,1772722367000,1772723305000
SOL/USDT:USDT_1772724883000,SOL/USDT:USDT,空头,118.755,89.14403053,2026/3/5 23:34,87.9694,2026/3/6 0:10,已平仓,139.4932487,3,1772724883000,1772727011000
ETH/USDT:USDT_1772724890000,ETH/USDT:USDT,空头,5.20071,2075.692927,2026/3/5 23:34,2059.86,2026/3/6 0:10,已平仓,82.3424616,3,1772724890000,1772727011000
SOL/USDT:USDT_1772772764000,SOL/USDT:USDT,多头,119.732,88.1553,2026/3/6 12:52,87.5112,2026/3/6 13:39,已平仓,-77.119382,2,1772772764000,1772775596000
ETH/USDT:USDT_1772775717000,ETH/USDT:USDT,多头,5.22739,2061.290701,2026/3/6 13:41,2078.14,2026/3/6 16:11,已平仓,88.0778579,4,1772775717000,1772784686000
SOL/USDT:USDT_1772782747000,SOL/USDT:USDT,多头,109.372,88.5074,2026/3/6 15:39,88.3205,2026/3/6 16:11,已平仓,-20.441627,2,1772782747000,1772784686000
ETH/USDT:USDT_1772784927000,ETH/USDT:USDT,空头,4.83498,2078.67,2026/3/6 16:15,2060.71,2026/3/6 17:16,已平仓,86.8362408,2,1772784927000,1772788610000
XRP/USDT:USDT_1772785161000,XRP/USDT:USDT,空头,8380.97,1.40293585,2026/3/6 16:19,1.39798,2026/3/6 17:18,已平仓,41.534814,3,1772785161000,1772788695000
SOL/USDT:USDT_1772788172000,SOL/USDT:USDT,多头,22.802,88.0439,2026/3/6 17:09,87.8252,2026/3/6 17:11,已平仓,-4.986798,2,1772788172000,1772788261000
ETH/USDT:USDT_1772789075000,ETH/USDT:USDT,多头,6.33165,2057.024351,2026/3/6 17:24,2048.07,2026/3/6 17:39,已平仓,-56.695819,4,1772789075000,1772789980000
SOL/USDT:USDT_1772789254000,SOL/USDT:USDT,多头,86.667,87.3611,2026/3/6 17:27,87.2321,2026/3/6 17:39,已平仓,-11.180043,2,1772789254000,1772789973000
ETH/USDT:USDT_1772790009000,ETH/USDT:USDT,空头,6.55267,2047.034212,2026/3/6 17:40,2062.45,2026/3/6 18:00,已平仓,-101.014569,4,1772790009000,1772791259000
ETH/USDT:USDT_1772799259000,ETH/USDT:USDT,多头,5.09592,2042.74,2026/3/6 20:14,2044.74,2026/3/6 20:33,已平仓,10.19184,2,1772799259000,1772800425000
ETH/USDT:USDT_1772807466000,ETH/USDT:USDT,空头,4.95457,2003.066443,2026/3/6 22:31,1977.8,2026/3/6 22:56,已平仓,125.1843596,3,1772807466000,1772809006000
ETH/USDT:USDT_1772811952000,ETH/USDT:USDT,空头,4.69276,1981.78,2026/3/6 23:45,1971.4,2026/3/7 1:34,已平仓,48.7108488,2,1772811952000,1772818465000
SOL/USDT:USDT_1772812116000,SOL/USDT:USDT,空头,105.714,84.6581,2026/3/6 23:48,84.1263,2026/3/7 1:34,已平仓,56.2187052,2,1772812116000,1772818465000
SOL/USDT:USDT_1772969462000,SOL/USDT:USDT,多头,117.274,83.07223307,2026/3/8 19:31,82.6125,2026/3/8 19:35,已平仓,-53.914737,3,1772969462000,1772969725000
SOL/USDT:USDT_1772987856000,SOL/USDT:USDT,空头,110.21,81.45651192,2026/3/9 0:37,82.4831,2026/3/9 3:34,已平仓,-113.140273,4,1772987856000,1772998442000
XRP/USDT:USDT_1772987863000,XRP/USDT:USDT,空头,8149.62,1.33819637,2026/3/9 0:37,1.35409,2026/3/9 3:19,已平仓,-129.527005,3,1772987863000,1772997544000
SOL/USDT:USDT_1773012785000,SOL/USDT:USDT,空头,127.097,82.08841975,2026/3/9 7:33,83.1284,2026/3/9 8:36,已平仓,-132.17837,3,1773012785000,1773016600000
ETH/USDT:USDT_1773013408000,ETH/USDT:USDT,空头,5.97382,1946.810607,2026/3/9 7:43,1976.54,2026/3/9 11:08,已平仓,-177.598042,5,1773013408000,1773025709000
XRP/USDT:USDT_1773013533000,XRP/USDT:USDT,空头,6457.86,1.34207,2026/3/9 7:45,1.35708,2026/3/9 8:36,已平仓,-96.932479,2,1773013533000,1773016587000
SOL/USDT:USDT_1773021642000,SOL/USDT:USDT,空头,186.769,82.4778473,2026/3/9 10:00,84.4047,2026/3/9 13:43,已平仓,-359.876352,7,1773021642000,1773035008000
