Rounded-full Image	Truncate	URL	Text-ellipsis	Leading-6	Leading-6	Text-current	Text-current	Leading-6	Leading-6	Flex	Text-xs	Leading-6
https://coin-images.coingecko.com/coins/images/486/large/circle-zcash-color.png?1696501740	8b3e9ff0-a3d2-4013-96a4-031cff91b7e0	https://omni.variational.io/perpetual/ZEC	ZEC-PERP	sell	Market	$226.955	-	0.1%	No	2026-03-15	22:13:54	3.8923
https://coin-images.coingecko.com/coins/images/486/large/circle-zcash-color.png?1696501740	b5ac9e71-346e-401e-bd2d-c4f336e19064	https://omni.variational.io/perpetual/ZEC	ZEC-PERP	sell	Market	$225.306	-	0.1%	No	2026-03-15	21:27:29	3.9605
https://coin-images.coingecko.com/coins/images/279/large/ethereum.png?1696501628	54f4a417-a8a4-4206-b589-3da323ed6fc9	https://omni.variational.io/perpetual/ETH	ETH-PERP	sell	Market	$2,091.34	-	0.1%	No	2026-03-15	21:20:55	0.55838
https://coin-images.coingecko.com/coins/images/279/large/ethereum.png?1696501628	8ca754a7-661a-431d-8c7b-78f0bc4f6d38	https://omni.variational.io/perpetual/ETH	ETH-PERP	sell	Market	$2,095.27	-	0.1%	No	2026-03-15	21:16:33	3.80366
https://coin-images.coingecko.com/coins/images/486/large/circle-zcash-color.png?1696501740	a4ea0adb-352b-409f-b74f-13f7a90a5e59	https://omni.variational.io/perpetual/ZEC	ZEC-PERP	sell	Limit	$224.514	$224.500	-	No	2026-03-15	21:13:30	35.4865
https://coin-images.coingecko.com/coins/images/486/large/circle-zcash-color.png?1696501740	12d95bb9-8490-4660-837b-b6307cf5bf5a	https://omni.variational.io/perpetual/ZEC	ZEC-PERP	sell	Market	$227.796	-	1%	Yes	2026-03-15	14:05:17	41.1477
https://coin-images.coingecko.com/coins/images/486/large/circle-zcash-color.png?1696501740	c93f260b-3049-4d6a-ac9b-38ca1f5a6a17	https://omni.variational.io/perpetual/ZEC	ZEC-PERP	buy	Market	$221.275	-	0.5%	No	2026-03-15	12:49:49	41.1477
https://coin-images.coingecko.com/coins/images/53746/large/trump.png?1737171561	4057e6d0-f735-48a6-9739-ab85a3c04719	https://omni.variational.io/perpetual/TRUMP	TRUMP-PERP	buy	Market	$3.94115	-	1%	Yes	2026-03-15	12:45:48	596.44
https://coin-images.coingecko.com/coins/images/486/large/circle-zcash-color.png?1696501740	8c4f64c7-2c76-402c-832f-006fbf9a306f	https://omni.variational.io/perpetual/ZEC	ZEC-PERP	buy	Stop Loss	$221.275	$220.000	-	Yes	2026-03-15	11:37:30	
https://coin-images.coingecko.com/coins/images/486/large/circle-zcash-color.png?1696501740	6820b600-7627-454a-8882-10006ba270eb	https://omni.variational.io/perpetual/ZEC	ZEC-PERP	sell	Market	$216.684	-	0.5%	No	2026-03-15	11:37:00	35.5897
https://coin-images.coingecko.com/coins/images/279/large/ethereum.png?1696501628	04323803-ad51-44d7-a13b-fa6f1ccca653	https://omni.variational.io/perpetual/ETH	ETH-PERP	buy	Stop Loss	$2,102.62	$2,100.00	-	Yes	2026-03-15	09:04:40	4.45471
https://coin-images.coingecko.com/coins/images/279/large/ethereum.png?1696501628	549caa05-73bd-49f6-861e-3d6df6d02dc1	https://omni.variational.io/perpetual/ETH	ETH-PERP	sell	Market	$2,087.69	-	0.5%	No	2026-03-15	09:03:27	4.45471
https://coin-images.coingecko.com/coins/images/4128/large/solana.png?1718769756	ee1545f4-c14f-4a0d-a156-868600cfbde1	https://omni.variational.io/perpetual/SOL	SOL-PERP	buy	Stop Loss	$88.0531	$88.0000	-	Yes	2026-03-14	15:37:21	
https://coin-images.coingecko.com/coins/images/4128/large/solana.png?1718769756	af6ee8bd-58cd-4f2b-8a60-019001f382fb	https://omni.variational.io/perpetual/SOL	SOL-PERP	sell	Market	$87.1737	-	0.5%	No	2026-03-14	15:36:35	100.204
