仓位ID,交易对,方向,数量,开仓价格,开仓时间,平仓价格,平仓时间,状态,PnL,交易次数,原始开仓时间戳,原始平仓时间戳
SOL/USDT:USDT_1732330859046,SOL/USDT:USDT,空头,11,254.22090909090912,2024-11-23 11:00,255.65,2024-11-23 11:18,已平仓,-15.72,5,1732330859046,1732331897021
SOL/USDT:USDT_1732331934016,SOL/USDT:USDT,多头,2,255.58,2024-11-23 11:18,257.72,2024-11-23 12:02,已平仓,4.28000000000003,4,1732331934016,1732334552028
SOL/USDT:USDT_1732335327579,SOL/USDT:USDT,多头,11,259.06,2024-11-23 12:15,261.54,2024-11-23 12:23,已平仓,27.2800000000002,4,1732335327579,1732335829022
SOL/USDT:USDT_1732336814778,SOL/USDT:USDT,多头,7,263.40666666666664,2024-11-23 12:40,260.64,2024-11-23 13:17,已平仓,-19.36666667,5,1732336814778,1732339046019
SOL/USDT:USDT_1732348382686,SOL/USDT:USDT,空头,10,258.568,2024-11-23 15:53,257.82,2024-11-23 18:30,已平仓,7.4799999999999045,3,1732348382686,1732357813019
SOL/USDT:USDT_1732372169175,SOL/USDT:USDT,多头,11,261.07,2024-11-23 22:29,263.74,2024-11-23 23:00,已平仓,29.370000000000175,2,1732372169175,1732374031021
SOL/USDT:USDT_1732376582630,SOL/USDT:USDT,空头,4,262.25,2024-11-23 23:43,260.01,2024-11-24 0:06,已平仓,8.960000000000036,5,1732376582630,1732378013735
SOL/USDT:USDT_1732412995462,SOL/USDT:USDT,多头,11,258.82,2024-11-24 9:49,256.56,2024-11-24 12:37,已平仓,-24.86,4,1732412995462,1732423059023
SOL/USDT:USDT_1732423082582,SOL/USDT:USDT,空头,5,256.51,2024-11-24 12:38,256.92,2024-11-24 15:59,已平仓,-2.05,4,1732423082582,1732435144029
SOL/USDT:USDT_1732441613239,SOL/USDT:USDT,多头,1,254.01,2024-11-24 17:46,254.05,2024-11-24 18:33,已平仓,0.040000000000020464,11,1732441613239,1732444437905
SOL/USDT:USDT_1732449452664,SOL/USDT:USDT,空头,5,248.77,2024-11-24 19:57,244.39,2024-11-24 20:43,已平仓,21.90000000000012,5,1732449452664,1732452185504
SOL/USDT:USDT_1732489706130,SOL/USDT:USDT,多头,7,253.67399999999998,2024-11-25 7:08,250.2,2024-11-25 9:04,已平仓,-24.318,4,1732489706130,1732496672017
SOL/USDT:USDT_1732496755007,SOL/USDT:USDT,空头,10,250.025,2024-11-25 9:05,252.38,2024-11-25 11:48,已平仓,-23.55,9,1732496755007,1732506485922
SOL/USDT:USDT_1732506497078,SOL/USDT:USDT,多头,5,252.34999999999997,2024-11-25 11:48,254.21,2024-11-25 13:23,已平仓,9.30000000000021,10,1732506497078,1732512237206
SOL/USDT:USDT_1732519330423,SOL/USDT:USDT,空头,18,252.28,2024-11-25 15:22,255.55,2024-11-25 17:06,已平仓,-58.86,2,1732519330423,1732525563025
SOL/USDT:USDT_1732525640175,SOL/USDT:USDT,多头,8,255.57000000000002,2024-11-25 17:07,248.31,2024-11-25 21:18,已平仓,-58.08,5,1732525640175,1732540693486
SOL/USDT:USDT_1733405654056,SOL/USDT:USDT,多头,14,241.37,2024-12-5 21:34,239.26,2024-12-5 22:23,已平仓,-29.54,2,1733405654056,1733408591031
SOL/USDT:USDT_1733409948228,SOL/USDT:USDT,空头,10,240.56000000000003,2024-12-5 22:45,241.95,2024-12-5 23:04,已平仓,-13.9,3,1733409948228,1733411042021
SOL/USDT:USDT_1733411771253,SOL/USDT:USDT,空头,3,240.89,2024-12-5 23:16,239.53,2024-12-5 23:21,已平仓,4.079999999999956,3,1733411771253,1733412072020
SOL/USDT:USDT_1733412990931,SOL/USDT:USDT,空头,1,237.6,2024-12-5 23:36,236.95,2024-12-5 23:44,已平仓,0.6500000000000057,9,1733412990931,1733413496736
SOL/USDT:USDT_1733413807816,SOL/USDT:USDT,空头,1,237.13999999999996,2024-12-5 23:50,240.93,2024-12-6 0:20,已平仓,-3.79,12,1733413807816,1733415610932
